abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,320,190,Little Bird Pok¨¦mon,45,1000000,0.2,40,Naty¥Í¥¤¥Æ¥£,Natu,50,177,70,45,70,psychic,flying,2,2,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,5120,70,470,75,Mystic Pok¨¦mon,70,1000000,1.5,65,Natio¥Í¥¤¥Æ¥£¥ª,Xatu,50,178,95,70,95,psychic,flying,15,2,0
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,280,235,Wool Pok¨¦mon,40,1059860,0.6,55,Merriep¥á¥ê©`¥×,Mareep,50,179,65,45,35,electric,,7.8,2,0
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,365,120,Wool Pok¨¦mon,55,1059860,0.8,70,Mokoko¥â¥³¥³,Flaaffy,50,180,80,60,45,electric,,13.3,2,0
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,610,45,Light Pok¨¦mon,105,1059860,1.4,90,Denryu¥Ç¥ó¥ê¥å¥¦,Ampharos,50,181,165,110,45,electric,,61.5,2,0
"['Chlorophyll', 'Healer']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,490,45,Flower Pok¨¦mon,95,1059860,0.4,75,Kireihana¥­¥ì¥¤¥Ï¥Ê,Bellossom,50,182,90,100,50,grass,,5.8,2,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,250,190,Aquamouse Pok¨¦mon,50,800000,0.4,70,Maril¥Þ¥ê¥ë,Marill,50,183,20,50,40,water,fairy,8.5,2,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,420,75,Aquarabbit Pok¨¦mon,80,800000,0.8,100,Marilli¥Þ¥ê¥ë¥ê,Azumarill,50,184,60,80,50,water,fairy,28.5,2,0
"['Sturdy', 'Rock Head', 'Rattled']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,Imitation Pok¨¦mon,115,1000000,1.2,70,Usokkie¥¦¥½¥Ã¥­©`,Sudowoodo,50,185,30,65,30,rock,,38,2,0
"['Water Absorb', 'Damp', 'Drizzle']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,500,45,Frog Pok¨¦mon,75,1059860,1.1,90,Nyorotono¥Ë¥ç¥í¥È¥Î,Politoed,50,186,90,100,70,water,,33.9,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,Cottonweed Pok¨¦mon,40,1059860,0.4,35,Hanecco¥Ï¥Í¥Ã¥³,Hoppip,50,187,35,55,50,grass,flying,0.5,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,Cottonweed Pok¨¦mon,50,1059860,0.6,55,Popocco¥Ý¥Ý¥Ã¥³,Skiploom,50,188,45,65,80,grass,flying,1,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,Cottonweed Pok¨¦mon,70,1059860,0.8,75,Watacco¥ï¥¿¥Ã¥³,Jumpluff,50,189,55,95,110,grass,flying,3,2,0
"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,Long Tail Pok¨¦mon,55,800000,0.8,55,Eipam¥¨¥¤¥Ñ¥à,Aipom,50,190,40,55,85,normal,,11.5,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,Seed Pok¨¦mon,30,1059860,0.3,30,Himanuts¥Ò¥Þ¥Ê¥Ã¥Ä,Sunkern,50,191,30,30,30,grass,,1.8,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,Sun Pok¨¦mon,55,1059860,0.8,75,Kimawari¥­¥Þ¥ï¥ê,Sunflora,50,192,105,85,30,grass,,8.5,2,0
"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,Clear Wing Pok¨¦mon,45,1000000,1.2,65,Yanyanma¥ä¥ó¥ä¥ó¥Þ,Yanma,50,193,75,45,95,bug,flying,38,2,0
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,Water Fish Pok¨¦mon,45,1000000,0.4,55,Upah¥¦¥Ñ©`,Wooper,50,194,25,25,15,water,ground,8.5,2,0
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,Water Fish Pok¨¦mon,85,1000000,1.4,95,Nuoh¥Ì¥ª©`,Quagsire,50,195,65,65,35,water,ground,75,2,0
"['Synchronize', 'Magic Bounce']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,Sun Pok¨¦mon,60,1000000,0.9,65,Eifie¥¨©`¥Õ¥£,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0
"['Synchronize', 'Inner Focus']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,Moonlight Pok¨¦mon,110,1000000,1,95,Blacky¥Ö¥é¥Ã¥­©`,Umbreon,88.1,197,60,130,65,dark,,27,2,0
"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,Darkness Pok¨¦mon,42,1059860,0.5,60,Yamikarasu¥ä¥ß¥«¥é¥¹,Murkrow,50,198,85,42,91,dark,flying,2.1,2,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,Royal Pok¨¦mon,80,1000000,2,95,Yadoking¥ä¥É¥­¥ó¥°,Slowking,50,199,100,110,30,water,psychic,79.5,2,0
['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,Screech Pok¨¦mon,60,800000,0.7,60,Muma¥à¥¦¥Þ,Misdreavus,50,200,85,85,85,ghost,,1,2,0
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,Symbol Pok¨¦mon,48,1000000,0.5,48,Unknown¥¢¥ó¥Î©`¥ó,Unown,,201,72,48,48,psychic,,5,2,0
"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,Patient Pok¨¦mon,58,1000000,1.3,190,Sonans¥½©`¥Ê¥ó¥¹,Wobbuffet,50,202,33,58,33,psychic,,28.5,2,0
"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,Long Neck Pok¨¦mon,65,1000000,1.5,70,Kirinriki¥­¥ê¥ó¥ê¥­,Girafarig,50,203,90,65,85,normal,psychic,41.5,2,0
"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,Bagworm Pok¨¦mon,90,1000000,0.6,50,Kunugidama¥¯¥Ì¥®¥À¥Þ,Pineco,50,204,35,35,15,bug,,7.2,2,0
"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,Bagworm Pok¨¦mon,140,1000000,1.2,75,Foretos¥Õ¥©¥ì¥È¥¹,Forretress,50,205,60,60,40,bug,steel,125.8,2,0
"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,Land Snake Pok¨¦mon,70,1000000,1.5,100,Nokocchi¥Î¥³¥Ã¥Á,Dunsparce,50,206,65,65,45,normal,,14,2,0
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,Flyscorpion Pok¨¦mon,105,1059860,1.1,65,Gliger¥°¥é¥¤¥¬©`,Gligar,50,207,35,65,85,ground,flying,64.8,2,0
"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,Iron Snake Pok¨¦mon,230,1000000,9.2,75,Haganeil¥Ï¥¬¥Í©`¥ë,Steelix,50,208,55,95,30,steel,ground,400,2,0
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,Fairy Pok¨¦mon,50,800000,0.6,60,Bulu¥Ö¥ë©`,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0
"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,Fairy Pok¨¦mon,75,800000,1.4,90,Granbulu¥°¥é¥ó¥Ö¥ë,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,Balloon Pok¨¦mon,85,1000000,0.5,65,Harysen¥Ï¥ê©`¥»¥ó,Qwilfish,50,211,55,55,85,water,poison,3.9,2,0
"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,Pincer Pok¨¦mon,140,1000000,1.8,70,Hassam¥Ï¥Ã¥µ¥à,Scizor,50,212,65,100,75,bug,steel,118,2,0
"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,Mold Pok¨¦mon,230,1059860,0.6,20,Tsubotsubo¥Ä¥Ü¥Ä¥Ü,Shuckle,50,213,10,230,5,bug,rock,20.5,2,0
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,Singlehorn Pok¨¦mon,115,1250000,1.5,80,Heracros¥Ø¥é¥¯¥í¥¹,Heracross,50,214,40,105,75,bug,fighting,54,2,0
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,Sharp Claw Pok¨¦mon,55,1059860,0.9,55,Nyula¥Ë¥å©`¥é,Sneasel,50,215,35,75,115,dark,ice,28,2,0
"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,Little Bear Pok¨¦mon,50,1000000,0.6,60,Himeguma¥Ò¥á¥°¥Þ,Teddiursa,50,216,50,50,40,normal,,8.8,2,0
"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,Hibernator Pok¨¦mon,75,1000000,1.8,90,Ringuma¥ê¥ó¥°¥Þ,Ursaring,50,217,75,75,55,normal,,125.8,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,Lava Pok¨¦mon,40,1000000,0.7,40,Magmag¥Þ¥°¥Þ¥Ã¥°,Slugma,50,218,70,40,20,fire,,35,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,Lava Pok¨¦mon,120,1000000,0.8,60,Magcargot¥Þ¥°¥«¥ë¥´,Magcargo,50,219,90,80,30,fire,rock,55,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,Pig Pok¨¦mon,40,1250000,0.4,50,Urimoo¥¦¥ê¥à©`,Swinub,50,220,30,30,50,ice,ground,6.5,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,Swine Pok¨¦mon,80,1250000,1.1,100,Inomoo¥¤¥Î¥à©`,Piloswine,50,221,60,60,50,ice,ground,55.8,2,0
"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,Coral Pok¨¦mon,95,800000,0.6,65,Sunnygo¥µ¥Ë©`¥´,Corsola,24.6,222,65,95,35,water,rock,5,2,0
"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,Jet Pok¨¦mon,35,1000000,0.6,35,Teppouo¥Æ¥Ã¥Ý¥¦¥ª,Remoraid,50,223,65,35,65,water,,12,2,0
"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,Jet Pok¨¦mon,75,1000000,0.9,75,Okutank¥ª¥¯¥¿¥ó,Octillery,50,224,105,75,45,water,,28.5,2,0
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,Delivery Pok¨¦mon,45,800000,0.9,45,Delibird¥Ç¥ê¥Ð©`¥É,Delibird,50,225,65,45,75,ice,flying,16,2,0
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,Kite Pok¨¦mon,70,1250000,2.1,85,Mantain¥Þ¥ó¥¿¥¤¥ó,Mantine,50,226,80,140,70,water,flying,220,2,0
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,Armor Bird Pok¨¦mon,140,1250000,1.7,65,Airmd¥¨¥¢©`¥à¥É,Skarmory,50,227,40,70,70,steel,flying,50.5,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,Dark Pok¨¦mon,30,1250000,0.6,45,Delvil¥Ç¥ë¥Ó¥ë,Houndour,50,228,80,50,65,dark,fire,10.8,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,Dark Pok¨¦mon,90,1250000,1.4,75,Hellgar¥Ø¥ë¥¬©`,Houndoom,50,229,140,90,115,dark,fire,35,2,0
"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,Dragon Pok¨¦mon,95,1000000,1.8,75,Kingdra¥­¥ó¥°¥É¥é,Kingdra,50,230,95,95,85,water,dragon,152,2,0
"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,Long Nose Pok¨¦mon,60,1000000,0.5,90,Gomazou¥´¥Þ¥¾¥¦,Phanpy,50,231,40,40,40,ground,,33.5,2,0
"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,Armor Pok¨¦mon,120,1000000,1.1,90,Donfan¥É¥ó¥Õ¥¡¥ó,Donphan,50,232,60,60,50,ground,,120,2,0
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,Virtual Pok¨¦mon,90,1000000,0.6,85,Porygon2¥Ý¥ê¥´¥ó£²,Porygon2,,233,105,95,60,normal,,32.5,2,0
"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,Big Horn Pok¨¦mon,62,1250000,1.4,73,Odoshishi¥ª¥É¥·¥·,Stantler,50,234,85,65,85,normal,,71.2,2,0
"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,Painter Pok¨¦mon,35,800000,1.2,55,Doble¥É©`¥Ö¥ë,Smeargle,50,235,20,45,75,normal,,58,2,0
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,Scuffle Pok¨¦mon,35,1000000,0.7,35,Balkie¥Ð¥ë¥­©`,Tyrogue,100,236,35,35,35,fighting,,21,2,0
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,Handstand Pok¨¦mon,95,1000000,1.4,50,Kapoerer¥«¥Ý¥¨¥é©`,Hitmontop,100,237,35,110,70,fighting,,48,2,0
"['Oblivious', 'Forewarn', 'Hydration']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,Kiss Pok¨¦mon,15,1000000,0.4,45,Muchul¥à¥Á¥å©`¥ë,Smoochum,0,238,85,65,65,ice,psychic,6,2,0
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,Electric Pok¨¦mon,37,1000000,0.6,45,Elekid¥¨¥ì¥­¥Ã¥É,Elekid,75.4,239,65,55,95,electric,,23.5,2,0
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,Live Coal Pok¨¦mon,37,1000000,0.7,45,Buby¥Ö¥Ó¥£,Magby,75.4,240,70,55,83,fire,,21.4,2,0
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,Milk Cow Pok¨¦mon,105,1250000,1.2,95,Miltank¥ß¥ë¥¿¥ó¥¯,Miltank,0,241,40,70,100,normal,,75.5,2,0
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,Happiness Pok¨¦mon,10,800000,1.5,255,Happinas¥Ï¥Ô¥Ê¥¹,Blissey,0,242,75,135,55,normal,,46.8,2,0
"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,Thunder Pok¨¦mon,75,1250000,1.9,90,Raikou¥é¥¤¥³¥¦,Raikou,,243,115,100,115,electric,,178,2,1
"['Pressure', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,Volcano Pok¨¦mon,85,1250000,2.1,115,Entei¥¨¥ó¥Æ¥¤,Entei,,244,90,75,100,fire,,198,2,1
"['Pressure', 'Inner Focus']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,20480,35,580,3,Aurora Pok¨¦mon,115,1250000,2,100,Suicune¥¹¥¤¥¯¥ó,Suicune,,245,90,115,85,water,,187,2,1
"['Guts', 'Sand Veil']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,Rock Skin Pok¨¦mon,50,1250000,0.6,50,Yogiras¥è©`¥®¥é¥¹,Larvitar,50,246,45,50,41,rock,ground,72,2,0
['Shed Skin'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,84,10240,35,410,45,Hard Shell Pok¨¦mon,70,1250000,1.2,70,Sanagiras¥µ¥Ê¥®¥é¥¹,Pupitar,50,247,65,70,51,rock,ground,152,2,0
"['Sand Stream', 'Unnerve']",2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,164,10240,35,700,45,Armor Pok¨¦mon,150,1250000,2,100,Bangiras¥Ð¥ó¥®¥é¥¹,Tyranitar,50,248,95,120,71,rock,dark,202,2,0
"['Pressure', 'Multiscale']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,90,30720,0,680,3,Diving Pok¨¦mon,130,1250000,5.2,106,Lugia¥ë¥®¥¢,Lugia,,249,90,154,110,psychic,flying,216,2,1
"['Pressure', 'Regenerator']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,130,30720,0,680,3,Rainbow Pok¨¦mon,90,1250000,3.8,106,Houou¥Û¥¦¥ª¥¦,Ho-Oh,,250,110,154,90,fire,flying,199,2,1
['Natural Cure'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,Time Travel Pok¨¦mon,100,1059860,0.6,100,Celebi¥»¥ì¥Ó¥£,Celebi,,251,100,100,100,psychic,grass,5,2,1
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,Wood Gecko Pok¨¦mon,35,1059860,0.5,40,Kimori¥­¥â¥ê,Treecko,88.1,252,65,55,70,grass,,5,3,0
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,Wood Gecko Pok¨¦mon,45,1059860,0.9,50,Juptile¥¸¥å¥×¥È¥ë,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,Forest Pok¨¦mon,75,1059860,1.7,70,Jukain¥¸¥å¥«¥¤¥ó,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0
"['Blaze', 'Speed Boost']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,Chick Pok¨¦mon,40,1059860,0.4,45,Achamo¥¢¥Á¥ã¥â,Torchic,88.1,255,70,50,45,fire,,2.5,3,0
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl Pok¨¦mon,60,1059860,0.9,60,Wakasyamo¥ï¥«¥·¥ã¥â,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Blaze Pok¨¦mon,80,1059860,1.9,80,Bursyamo¥Ð¥·¥ã©`¥â,Blaziken,88.1,257,130,80,100,fire,fighting,52,3,0
"['Torrent', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,Mud Fish Pok¨¦mon,50,1059860,0.4,50,Mizugorou¥ß¥º¥´¥í¥¦,Mudkip,88.1,258,50,50,40,water,,7.6,3,0
"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,405,45,Mud Fish Pok¨¦mon,70,1059860,0.7,70,Numacraw¥Ì¥Þ¥¯¥í©`,Marshtomp,88.1,259,60,70,50,water,ground,28,3,0
"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,150,5120,70,635,45,Mud Fish Pok¨¦mon,110,1059860,1.5,100,Laglarge¥é¥°¥é©`¥¸,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0
"['Run Away', 'Quick Feet', 'Rattled']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,Bite Pok¨¦mon,35,1000000,0.5,35,Pochiena¥Ý¥Á¥¨¥Ê,Poochyena,50,261,30,30,35,dark,,13.6,3,0
"['Intimidate', 'Quick Feet', 'Moxie']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,3840,70,420,127,Bite Pok¨¦mon,70,1000000,1,70,Graena¥°¥é¥¨¥Ê,Mightyena,50,262,60,60,70,dark,,37,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,Tiny Racoon Pok¨¦mon,41,1000000,0.4,38,Jiguzaguma¥¸¥°¥¶¥°¥Þ,Zigzagoon,50,263,30,41,60,normal,,17.5,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,420,90,Rush Pok¨¦mon,61,1000000,0.5,78,Massuguma¥Þ¥Ã¥¹¥°¥Þ,Linoone,50,264,50,61,100,normal,,32.5,3,0
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,Worm Pok¨¦mon,35,1000000,0.3,45,Kemusso¥±¥à¥Ã¥½,Wurmple,50,265,20,30,20,bug,,3.6,3,0
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pok¨¦mon,55,1000000,0.6,50,Karasalis¥«¥é¥µ¥ê¥¹,Silcoon,50,266,25,25,15,bug,,10,3,0
